property_id,immovlan_id,url,source,scrape_date,date_posted,html_path,property_type,category,transaction_type,new_construction,price,vat,cadastral_income,street,house_number,postal_code,locality,province,region,latitude,longitude,bedrooms,livable_surface,number_of_kitchens,kitchen_equipment,bathrooms,showers,toilets,floor,build_year,currently_leased,furnished,building_state,heating_type,glazing_type,heat_pump,solar_panels,air_conditioning,primary_energy_consumption,epc,electrical_certificate,facades,facade_orientation,garden,garden_surface,garden_orientation,terrace,terrace_surface,balcony,garage,garages,indoor_parking,outdoor_parking,cellar,swimming_pool,elevator,running_water,flooding_area_type,demarcated_flooding_area,number_of_floors,availability,total_land_surface,living_room_surface,preemption_right,access_for_disabled,bedroom_1_surface,bedroom_2_surface,gas_connection,epc_validity_date,sewer_connection,epc_reference,co2_emission,entry_phone,urbanism_affectation,attic,kitchen_surface,bedroom_3_surface,yearly_primary_energy_consumption,frontage_width,building_permission_granted,kitchen_type,alarm,terrace_orientation,planning_permission_granted,bathroom_surface,p_score,g_score,terrain_width_at_roadside,security_door,protected_heritage,bedroom_4_surface,buildable_surface,veranda,rain_water_tank,floor_heating,as_build_certificate,diningroom,ground_depth,diningroom_surface,fireplace,electric_charging_station,hammam_sauna_jacuzzi,water_sensitive_area,domotica,cellar_surface,wash_room,solar_thermic_panels,bedroom_5_surface,gasoil_tank_certificate,low_energy_house,garage_surface,office_surface,attic_surface,individual_water_meter,water_softener,motorized_garage_door,bike_storage,electronic_key,dressing,electrical_certificate_validity,dressing_surface,opportunity_for_professional,bi_hourly_counter,adaptations_for_elderlies,total_surface,individual_electric_meter,level_e,veranda_surface,service_apartment,individual_gas_meter,barbecue,electricity_connection,gasoil_tank_certificate_validity,urbanism_infraction_description,nursery_nearest_walk_m,preschool_nearest_walk_m,elementary_school_nearest_walk_m,high_school_nearest_walk_m,bus_stop_nearest_walk_m,tram_stop_nearest_walk_m,train_station_nearest_walk_m,train_station_nearest_drive_m,motorway_nearest_drive_m,airport_nearest_drive_m,charging_station_nearest_drive_m,supermarket_nearest_walk_m,supermarket_count,car_sharing_nearest_walk_m,bike_sharing_nearest_walk_m
VBE07061,10564562,https://immovlan.be/en/detail/apartment/for-sale/1050/elsene/vbe07061,ImmoVlan,2026-06-15,2026-04-07,data_html/raw/html/vbe/vbe07061.html,flat,appartment,for-sale,0,750000,0,,Avenue Louise,87,1050,Elsene,Brussels,Brussels,50.835257,4.3559349,4,197,,,2,,3,7,1951,0,0,Normal,Gas,,,,,300,BrusselsF,0,3,,0,,,1,,,1,1,,,,,1,,(information not available),(information not available),8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427,687,536,536,49,128,1100,2400,4900,14600,483,76,3,183,100
VBE07063,10564575,https://immovlan.be/en/detail/penthouse/for-sale/1082/berchem-sainte-agathe/vbe07063,ImmoVlan,2026-06-15,2026-04-07,data_html/raw/html/vbe/vbe07063.html,penthouse,appartment,for-sale,1,595000,1,,Rue du Grand-Pr&#xE9;,41,1082,Berchem-Sainte-Agathe,Brussels,Brussels,50.85811097,4.30125829,3,,,,2,,2,3,,0,0,New,Gas,,,,,65,BrusselsB,1,4,,0,,,1,82,,1,,,,,,1,,(information not available),(information not available),3,On contract,,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,131,131,546,346,565,2000,2300,2400,20300,1700,621,3,202,635
VBE07064,10564588,https://immovlan.be/en/detail/residence/for-sale/4560/ocquier/vbe07064,ImmoVlan,2026-06-15,2026-04-07,data_html/raw/html/vbe/vbe07064.html,house,house,for-sale,0,890000,0,,Rue Chien Rue,32,4560,Ocquier,Liege,Wallonia,50.397493,5.3971822,5,299,,,2,1,3,,,0,0,,Fuel oil,,,1,,147,WalloniaB,1,4,South-east,1,2202,,1,59,,1,1,,2,,1,0,1,no flooding area,(information not available),,,2485,299,,,,,,08/06/2032,,20220608025140,,,,,,,,21,,,,,,,,,,,,,283,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,381,395,4500,349,,11000,15000,,,9300,7700,3,,
VBE07065,10564589,https://immovlan.be/en/detail/residence/for-sale/4770/amel/vbe07065,ImmoVlan,2026-06-15,2026-04-07,data_html/raw/html/vbe/vbe07065.html,house,house,for-sale,0,545000,0,,Malmedyer weg,54,4770,Amel,Liege,Wallonia,50.3946703,6.1654512,4,222,,,1,1,2,,,0,0,,,,,,,107,WalloniaB,1,4,North,1,2241,,1,47,,1,1,,4,,,0,1,(information not available),(information not available),1,,2376,,,,,,,03/04/2036,,20260403026278,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2600,2600,5500,116,,,,14000,,9400,5600,3,,
VBE07069,10564594,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe07069,ImmoVlan,2026-06-15,2026-04-07,data_html/raw/html/vbe/vbe07069.html,flat,appartment,for-sale,0,349000,0,730,Quai &#xE0; la Houille,7,1000,Brussels,Brussels,Brussels,50.8540217,4.3471197,2,98,,,,2,2,1,1958,0,0,,Gas,,,,,129,BrusselsC,0,2,East,0,,,0,,,,,,,,,0,1,(information not available),(information not available),6,On contract,,20,,,,,1,08/11/2034,,20241108-0000695314-01-1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,279,279,250,371,200,1300,1800,5900,16400,2100,16,3,118,87
VBE07076,10564601,https://immovlan.be/en/detail/apartment/for-sale/1140/evere/vbe07076,ImmoVlan,2026-06-15,2026-04-07,data_html/raw/html/vbe/vbe07076.html,flat,appartment,for-sale,0,243000,0,1,,,1140,Evere,Brussels,Brussels,50.874464,4.399615,2,80,,,1,,1,,1965,0,0,To be renovated,Not specified,,,,,,,,,,0,,,0,,,,,,,,,0,,(information not available),(information not available),3,Immediately,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,238,238,1300,677,588,1000,1500,3700,8100,747,628,3,662,712
VBE07083,10564609,https://immovlan.be/en/detail/residence/for-sale/4470/saint-georges-sur-meuse/vbe07083,ImmoVlan,2026-06-15,2026-04-07,data_html/raw/html/vbe/vbe07083.html,house,house,for-sale,0,150000,0,146,,,4470,Saint-Georges-sur-Meuse,Liege,Wallonia,50.599795,5.356902,3,110,,,1,,1,,,0,0,Normal,,,,,,308,WalloniaD,1,,South,1,,,1,18,,,,,,,,0,,(information not available),(information not available),,On contract,,,,,,,,04/04/2036,,20260404001674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963,520,520,1500,160,,5000,5500,906,10600,7000,238,3,,
VBE07084,10564610,https://immovlan.be/en/detail/residence/for-sale/6031/monceau-sur-sambre/vbe07084,ImmoVlan,2026-06-15,2026-04-07,data_html/raw/html/vbe/vbe07084.html,house,house,for-sale,0,149000,0,461,"Rue du Pr&#xE9;sident Wilson,",41,6031,Monceau-sur-Sambre,Hainaut,Wallonia,50.4185168,4.3755799,3,135,,,,,,,,0,0,,,,,,,420,WalloniaE,,,,1,,,0,,,,,,,,,0,,(information not available),(information not available),,,465,,,,,,,,,20260501011076,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,655,933,2300,422,,2000,1900,7300,10500,6000,1300,3,5400,
VBE07099,10564631,https://immovlan.be/en/detail/residence/for-sale/1480/tubize/vbe07099,ImmoVlan,2026-06-15,2026-04-07,data_html/raw/html/vbe/vbe07099.html,house,house,for-sale,0,395000,0,,,,1480,Tubize,Walloon Brabant,Wallonia,50.69054,4.2026,5,250,,,1,,2,,,0,0,Normal,Gas,,,1,,404,WalloniaE,,2,,1,200,,1,30,,1,1,,,,,0,,(information not available),(information not available),,,377,28,,,,,,21/12/2028,,20181221009381,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,448,377,2,16,,527,312,2900,,4800,215,3,3100,
VBE07109,10564727,https://immovlan.be/en/detail/residence/for-sale/7370/dour/vbe07109,ImmoVlan,2026-06-15,2026-04-07,data_html/raw/html/vbe/vbe07109.html,house,house,for-sale,0,295000,0,907,Rue des Canadiens,29,7370,Dour,Hainaut,Wallonia,50.4001667,3.7745228,4,236,,Fully equipped,1,,2,,,,,,Gas,Double glass,,,,617,WalloniaG,0,4,South,1,,,1,71,,1,1,,3,1,,,1,(information not available),(information not available),2,,780,,,,18,19,1,,1,,,,,1,18,21,145580,14,,Western kitchen,,,,6,,,14,,,18,,,,,,1,58,,,,,,,73,,,,,,21,,100,,,,,,,,,,,,,,,,,,,,,,242,153,153,498,610,,3700,5500,7400,,913,547,3,,
